kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora ,TICKER
III Q 2020,CZK,48404000.0,1202000.0,-779000,-1176000,8263000,9465000,672795000,244820000,"537989,759","-2,186","455,064",N,CEZ
IV Q 2018,CZK,51492000.0,3040000.0,1955000,1336000,8194000,11234000,707443000,234721000,"537989,759","2,483","436,293",N,CEZ
I Q 2019,CZK,50983000.0,13801000.0,12215000,9824000,7986000,21787000,675762000,251585000,"537989,759","18,261","467,639",N,CEZ
II Q 2019,CZK,47014000.0,6040000.0,4161000,3529000,8275000,14315000,678804000,242984000,"537989,759","6,560","451,652",N,CEZ
III Q 2019,CZK,47195000.0,2243000.0,351000,85000,8153000,10396000,671957000,243383000,"537989,759","0,158","452,393",N,CEZ
IV Q 2017,CZK,54833000.0,6202000.0,3292000,2665000,7805000,14007000,623906000,250018000,"537989,759","4,954","464,726",N,CEZ
I Q 2018,CZK,45596000.0,10399000.0,8903000,7121000,8071000,18470000,625839000,261207000,"537989,759","13,236","485,524",N,CEZ
II Q 2018,CZK,39317000.0,2278000.0,420000,388000,7974000,10252000,671642000,238342000,"537989,759","0,721","443,023",N,CEZ
III Q 2018,CZK,44913000.0,4042000.0,2239000,1482000,7927000,11969000,742879000,233039000,"537989,759","2,755","433,166",N,CEZ
IV Q 2016,CZK,58153000.0,4516000.0,1067000,-161000,8387000,12903000,630841000,256812000,"537989,759","-0,299","477,355",N,CEZ
I Q 2017,CZK,52370000.0,11655000.0,10661000,8569000,8420000,20075000,616647000,266562000,"537989,759","15,928","495,478",N,CEZ
II Q 2017,CZK,46367000.0,5586000.0,8771000,7745000,8379000,13965000,592588000,252752000,"537989,759","14,396","469,808",N,CEZ
III Q 2017,CZK,45430000.0,2177000.0,29000,-214000,8426000,10603000,612799000,249318000,"537989,759","-0,398","463,425",N,CEZ
IV Q 2015,CZK,56765000.0,4338000.0,6006000,4077000,8024000,12362000,602686000,267893000,"537989,759","7,578","497,952",N,CEZ
I Q 2016,CZK,51387000.0,12967000.0,12191000,9876000,8024000,20991000,625757000,281284000,"537989,759","18,357","522,843",N,CEZ
II Q 2016,CZK,46782000.0,5031000.0,4906000,3753000,8024000,13055000,611060000,259973000,"537989,759","6,976","483,230",N,CEZ
III Q 2016,CZK,45687000.0,3600000.0,1164000,813000,7701000,11301000,608069000,260024000,"537989,759","1,511","483,325",N,CEZ
IV Q 2014,CZK,51291000.0,8123000.0,4262000,2590000,7891000,16014000,627870000,261308000,"537989,759","4,814","485,712",N,CEZ
I Q 2015,CZK,53735000.0,12027000.0,9576000,7515000,8181000,20208000,633292000,271512000,"537989,759","13,969","504,679",N,CEZ
II Q 2015,CZK,48845000.0,9273000.0,9598000,7860000,7939000,17212000,614106000,259001000,"537989,759","14,610","481,424",N,CEZ
III Q 2015,CZK,47329000.0,3323000.0,1715000,1287000,7891000,11214000,609237000,261417000,"537989,759","2,392","485,914",N,CEZ
IV Q 2013,CZK,55281000.0,7183000.0,5682000,3476000,7950000,15133000,640394000,258076000,"537989,759","6,461","479,704",N,CEZ
I Q 2014,CZK,53157000.0,14374000.0,12405000,9912000,7734000,22108000,647780000,268709000,"537989,759","18,424","499,469",N,CEZ
II Q 2014,CZK,48549000.0,9724000.0,9092000,7360000,7760000,17484000,634651000,255265000,"537989,759","13,681","474,479",N,CEZ
III Q 2014,CZK,45309000.0,4725000.0,2897000,2541000,7676000,12401000,599332000,257154000,"537989,759","4,723","477,991",N,CEZ
IV Q 2012,CZK,52621000.0,12458000.0,9861000,7209000,9185000,21643000,636070000,250235000,"537989,759","13,400","465,130",N,CEZ
I Q 2013,CZK,59880000.0,21297000.0,21549000,17807000,7765000,29062000,648657000,267483000,"537989,759","33,099","497,190",N,CEZ
II Q 2013,CZK,53064000.0,13844000.0,12976000,10785000,7781000,21625000,663723000,255488000,"537989,759","20,047","474,894",N,CEZ
III Q 2013,CZK,48763000.0,3366000.0,4199000,3818000,7969000,11335000,636021000,258354000,"537989,759","7,097","480,221",N,CEZ
IV Q 2011,CZK,59199000.0,18023000.0,17822000,14300000,8018000,26041000,598301000,226825000,"537989,759","26,580","421,616",N,CEZ
I Q 2012,CZK,60793000.0,19831000.0,18006000,14818000,7297000,27128000,606276000,246007000,"537989,759","27,543","457,271",N,CEZ
II Q 2012,CZK,52231000.0,15608000.0,15368000,12862000,7133000,22741000,649529000,228806000,"537989,759","23,908","425,298",N,CEZ
III Q 2012,CZK,49450000.0,9186000.0,7722000,6540000,7743000,16929000,625668000,240949000,"537989,759","12,156","447,869",N,CEZ
IV Q 2010,CZK,54460000.0,14933000.0,10082000,7054000,10870000,25803000,544375000,221431000,"537989,759","13,112","411,590",N,CEZ
I Q 2011,CZK,56805000.0,20528000.0,21050000,17235000,7084000,27612000,580805000,237951000,"537989,759","32,036","442,297",N,CEZ
II Q 2011,CZK,46749000.0,11140000.0,8452000,6739000,6959000,18099000,576165000,217988000,"537989,759","12,526","405,190",N,CEZ
III Q 2011,CZK,47008000.0,11851000.0,4628000,2482000,7262000,19113000,0,0,"537989,759","4,613","0,000",N,CEZ
IV Q 2009,CZK,55536000.0,13727000.0,6969000,4748000,10475000,24202000,530259000,200361000,"537989,759","8,825","372,425",N,CEZ
I Q 2010,CZK,53886000.0,21691000.0,21463000,17455000,6632000,28323000,530077000,220746000,"537989,759","32,445","410,316",N,CEZ
II Q 2010,CZK,44797000.0,14039000.0,13267000,11186000,6626000,20665000,560961000,201307000,"537989,759","20,792","374,184",N,CEZ
III Q 2010,CZK,45705000.0,14125000.0,13868000,11356000,6501000,20626000,0,0,"537989,759","21,108","0,000",N,CEZ
IV Q 2008,CZK,49817000.0,11963000.0,8163000,5625000,6942000,18905000,473175000,173252000,"592210,843","9,498","292,551",N,CEZ
I Q 2009,CZK,53952000.0,24797000.0,23980000,19091000,6092000,30889000,500561000,187189000,"537989,759","35,486","347,942",N,CEZ
II Q 2009,CZK,43109000.0,16047000.0,19176000,15766000,6192000,22239000,501350000,177231000,"537989,759","29,305","329,432",N,CEZ
III Q 2009,CZK,43755000.0,13628000.0,14821000,11942000,6190000,19818000,0,0,"537989,759","22,197","0,000",N,CEZ
IV Q 2007,CZK,51067000.0,14264000.0,12607000,12642000,6837000,21101000,0,0,"592210,843","21,347","0,000",N,CEZ
I Q 2008,CZK,48605000.0,21560000.0,19843000,15515000,6293000,27853000,388435000,178919000,"592210,843","26,198","302,120",N,CEZ
II Q 2008,CZK,41816000.0,16417000.0,16924000,13068000,5974000,22391000,442252000,168160000,"592210,843","22,066","283,953",N,CEZ
III Q 2008,CZK,41400000.0,16338000.0,15786000,12302000,5535000,21873000,0,0,"592210,843","20,773","0,000",N,CEZ
IV Q 2006,CZK,40655000.0,10123000.0,9273000,6572000,6805000,16928000,368655000,194937000,"592210,843","11,097","329,168",N,CEZ
I Q 2007,CZK,44124000.0,16318000.0,16229000,12681000,6073000,22391000,385360000,207827000,"592210,843","21,413","350,934",N,CEZ
II Q 2007,CZK,39038000.0,11005000.0,10923000,7814000,6145000,17150000,383154000,191604000,"592210,843","13,195","323,540",N,CEZ
III Q 2007,CZK,40334000.0,11616000.0,11392000,8418000,6047000,17663000,0,0,"592210,843","14,215","0,000",N,CEZ
IV Q 2005,CZK,35681000.0,6200000.0,7382000,6857000,0,6200000,324209000,176673000,"592210,843","11,579","298,328",N,CEZ
I Q 2006,CZK,40653000.0,14822000.0,13707000,9989000,6413000,21235000,0,0,"592210,843","16,867","0,000",N,CEZ
II Q 2006,CZK,33755000.0,8558000.0,7998000,5915000,6208000,14766000,0,0,"592210,843","9,988","0,000",N,CEZ
III Q 2006,CZK,34071000.0,6561000.0,6730000,5221000,8082000,14643000,0,0,"592210,843","8,816","0,000",N,CEZ
